127.0.0.1 - - [05/Nov/2020:23:47:47 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:47:52 +0900] "GET /ddit/ HTTP/1.1" 200 6491
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:47:53 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/css/vendor/themify-icons.css HTTP/1.1" 200 16465
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:47:53 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/css/vendor/font-awesome.min.css HTTP/1.1" 200 31018
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:47:53 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/css/vendor/cryptocurrency-icons.css HTTP/1.1" 200 18360
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:47:53 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/css/vendor/material-design-iconic-font.min.css HTTP/1.1" 200 70824
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:47:53 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/css/plugins/plugins.css HTTP/1.1" 200 301819
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:47:53 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/css/vendor/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:47:53 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/css/style-primary.css HTTP/1.1" 200 579638
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:47:53 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/css/helper.css HTTP/1.1" 200 102239
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:47:53 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/css/style.css HTTP/1.1" 200 579638
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:47:54 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/js/vendor/modernizr-3.6.0.min.js HTTP/1.1" 200 11841
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:47:54 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/js/vendor/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:47:54 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/js/vendor/popper.min.js HTTP/1.1" 200 21014
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:47:54 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/js/vendor/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:47:54 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/js/plugins/perfect-scrollbar.min.js HTTP/1.1" 200 18291
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:47:54 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/js/plugins/tippy4.min.js.js HTTP/1.1" 200 31984
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:47:55 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/js/main.js HTTP/1.1" 200 10382
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:47:55 +0900] "GET /ddit/resources/img/uni.jpg HTTP/1.1" 200 544950
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:47:56 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/images/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:48:30 +0900] "POST /ddit/common/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:48:36 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/js/plugins/moment/moment.min.js HTTP/1.1" 200 51638
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:48:37 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/js/plugins/fullcalendar/fullcalendar.min.js HTTP/1.1" 200 216949
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:48:37 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/js/plugins/fullcalendar/fullcalendar.active.js HTTP/1.1" 200 3618
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:48:37 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/js/plugins/summernote/summernote-bs4.min.js HTTP/1.1" 200 123150
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:48:37 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/js/plugins/chartjs/Chart.min.js HTTP/1.1" 200 156721
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:48:37 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/js/plugins/summernote/summernote.active.js HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:48:37 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/js/plugins/chartjs/chartjs.active.js HTTP/1.1" 200 34654
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:48:38 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/js/plugins/footable/footable.min.js HTTP/1.1" 200 82382
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:48:38 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/images/logo/logo.png HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:48:38 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/js/plugins/footable/footable.active.js HTTP/1.1" 200 2847
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:48:38 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/images/logo/logo-light.png HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:48:38 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/images/avatar/avatar-1.jpg HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:48:38 +0900] "GET /ddit/resources/img/member/6648cd4c73b64bd2a2b6d8d40ff52c07.jpg HTTP/1.1" 200 682557
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:48:38 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/images/icons/zip.png HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:48:38 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/images/icons/doc.png HTTP/1.1" 200 1687
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:48:39 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/images/mail/attach-1.png HTTP/1.1" 200 682
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:48:39 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/images/icons/pdf.png HTTP/1.1" 200 2033
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:48:39 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/images/bg/video-1-poster.jpg HTTP/1.1" 200 5546
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:48:39 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 200 38384
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:48:39 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/fonts/themify.woff?-fvbane HTTP/1.1" 200 56108
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:48:39 +0900] "GET /ddit/index.do HTTP/1.1" 200 59587
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:48:41 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/js/plugins/raty/raty.active.js HTTP/1.1" 200 3320
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:48:41 +0900] "GET /ddit/resources/js/common.js HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:48:42 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/js/plugins/raty/jquery.raty.js HTTP/1.1" 200 19307
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:48:42 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/media/video-1-576p.mp4 HTTP/1.1" 206 1873863
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:48:42 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/images/icons/select-arrow-down.png HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:48:42 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:48:49 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/media/video-1-576p.mp4 HTTP/1.1" 206 38855
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:48:49 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/media/video-1-576p.mp4 HTTP/1.1" 206 38855
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:48:50 +0900] "GET /ddit/resources/bootstrap/adomx-html-tf-v1.1/html/light/assets/media/video-1-576p.mp4 HTTP/1.1" 206 32768
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:48:52 +0900] "GET /ddit/message/list HTTP/1.1" 200 30825
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:49:10 +0900] "GET /ddit/message/notReadMessage HTTP/1.1" 200 29139
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:49:17 +0900] "GET /ddit/message/deleteMessageBox HTTP/1.1" 200 31756
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:55:07 +0900] "POST /ddit/message/regist.do HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:55:10 +0900] "GET /ddit/message/sendMessageBox HTTP/1.1" 200 32041
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:55:10 +0900] "GET /ddit/resources/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:55:11 +0900] "GET /ddit/resources/img/member/6648cd4c73b64bd2a2b6d8d40ff52c07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:55:19 +0900] "GET /ddit/message/list HTTP/1.1" 200 30825
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:55:25 +0900] "GET /ddit/message/list HTTP/1.1" 200 30825
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:55:31 +0900] "GET /ddit/common/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:55:31 +0900] "GET /ddit/ HTTP/1.1" 200 6491
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:55:40 +0900] "POST /ddit/common/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:55:40 +0900] "GET /ddit/index.do HTTP/1.1" 200 59440
0:0:0:0:0:0:0:1 - - [05/Nov/2020:23:55:41 +0900] "GET /ddit/resources/img/member/ HTTP/1.1" 404 721
